"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Generadores","1","0","Página genera-perfiles","0"
"0","","1","Generadores","0","0","Página genera-cuentas","0"
"0","","0","Generadores","1","0","Página genera-documentos","0"
"0","","0","Generadores","1","0","Página genera-localizacion","0"
"0","","0","Generadores","1","0","Página genera-numeros","0"
"0","","0","Generadores","1","0","Página genera-variados","0"
"0","","0","Genera Documentos","1","0","Generar NIF","0"
"0","","1","Generadores","0","0","Página genera-colores","0"
"0","","0","Generadores","1","0","Página home","0"
"0","","1","Generadores","0","0","Página about","0"
"0","","0","Generadores","1","0","Página genera-coches","0"
"0","","0","Generadores","1","0","Página genera-textos","0"
"0","","1","Generadores","0","0","Página genera-archivos","0"
"0","","0","Generadores","1","0","Página genera-fechas","0"
"0","","1","Generadores","0","0","Página genera-barras","0"
